id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,margin
586562,Geelong Cats,1996.0,51.0,Melbourne Demons,1,W,9.0,7.0,4.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45383.0,1996-03-29,48.0,127.0
72881,Carlton Blues,2009.0,108.0,Melbourne Demons,21,W,6.0,16.0,6.0,8.0,19.0,3.0,1.0,0.0,3.0,2.0,8.0,0.0,2.0,0.0,1.0,0.0,3.0,22.0,0.0,2.0,2.0,0.0,3.0,87.0,44941.0,2009-08-22,110.0,57.0
41990,Fremantle Dockers,2009.0,41.0,Essendon Bombers,21,W,5.0,11.0,5.0,4.0,10.0,1.0,3.0,0.0,2.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,7.0,7.0,0.0,1.0,2.0,1.0,1.0,90.0,44122.0,2009-08-23,74.0,54.0
533533,Geelong Cats,1996.0,15.0,Melbourne Demons,1,W,19.0,9.0,8.0,2.0,6.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45565.0,1996-03-29,64.0,127.0
126992,Adelaide Crows,2017.0,93.0,Fremantle Dockers,10,W,27.0,12.0,4.0,9.0,16.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,9.0,10.0,1.0,0.0,1.0,0.0,1.0,88.0,44330.0,2017-05-27,71.0,100.0
54635,Adelaide Crows,2017.0,43.0,Fremantle Dockers,10,W,6.0,20.0,11.0,9.0,24.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,8.0,0.0,1.0,86.0,44278.0,2017-05-27,111.0,100.0
527237,Hawthorn Hawks,1996.0,1.0,Fitzroy Lions,1,W,27.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45422.0,1996-03-30,14.0,21.0
44610,Brisbane Lions,2017.0,46.0,Collingwood Magpies,10,L,31.0,4.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,7.0,1.0,0.0,7.0,0.0,0.0,88.0,43290.0,2017-05-28,35.0,-45.0
96661,Melbourne Demons,2009.0,14.0,Carlton Blues,21,L,39.0,15.0,6.0,9.0,19.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,6.0,17.0,0.0,2.0,0.0,0.0,0.0,94.0,44148.0,2009-08-22,99.0,-57.0
56247,Melbourne Demons,2009.0,39.0,Carlton Blues,21,L,8.0,4.0,6.0,9.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,9.0,0.0,0.0,5.0,0.0,0.0,91.0,43849.0,2009-08-22,53.0,-57.0
540880,Melbourne Demons,2009.0,234.0,Carlton Blues,21,L,23.0,9.0,7.0,19.0,23.0,0.0,0.0,0.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,10.0,18.0,0.0,0.0,3.0,2.0,0.0,96.0,45721.0,2009-08-22,110.0,-57.0
447140,North Melbourne Kangaroos,2009.0,4.0,St Kilda Saints,21,W,40.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,7.0,0.0,0.0,77.0,44616.0,2009-08-23,54.0,5.0
32232,Port Adelaide Power,2009.0,92.0,Brisbane Lions,21,L,6.0,18.0,5.0,5.0,18.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,6.0,17.0,0.0,0.0,4.0,1.0,1.0,84.0,44668.0,2009-08-22,93.0,-15.0
37837,Port Adelaide Power,2009.0,148.0,Brisbane Lions,21,L,1.0,7.0,3.0,14.0,16.0,0.0,0.0,0.0,9.0,0.0,4.0,8.0,3.0,0.0,1.0,0.0,9.0,11.0,0.0,0.0,2.0,0.0,1.0,78.0,43537.0,2009-08-22,91.0,-15.0
617402,Greater Western Sydney Giants,2021.0,91.0,West Coast Eagles,10,W,27.0,11.0,5.0,9.0,20.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,0.0,9.0,11.0,2.0,1.0,2.0,0.0,3.0,93.0,44054.0,2021-05-23,71.0,16.0
